=== 交易流水帳 (3月至今 - 五模式精準版) ===
起始資金: 2,000,000 | 最終價值: 3,350,149
--------------------------------------------------------------------------------
2026-03-23   | 1773   | SELL | 142.00   | -6.0%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-03-23   | 1711   | SELL | 38.45    | 3.6%     | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-03-23   | 1809   | SELL | 29.25    | -18.2%   | 停損(HOLY_GRAIL_BREAKOUT)
2026-03-24   | 6451   | SELL | 290.00   | 10.1%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-03-25   | 1742   | BUY  | 17.45    | -        |                     
2026-03-26   | 9918   | BUY  | 47.00    | -        |                     
2026-03-27   | 3672   | SELL | 10.90    | -5.6%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-03-30   | 1723   | SELL | 88.70    | 17.8%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-03-30   | 1742   | SELL | 16.50    | -5.4%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-03-31   | 9918   | SELL | 47.90    | 1.9%     | 保本(HOLY_GRAIL_BREAKOUT)
2026-03-31   | 1905   | BUY  | 17.95    | -        |                     
2026-04-01   | 1905   | SELL | 16.70    | -7.0%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-04-08   | 1723   | SELL | 78.10    | 3.7%     | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-04-08   | 4923   | BUY  | 37.00    | -        |                     
2026-04-08   | 1304   | BUY  | 16.00    | -        |                     
2026-04-08   | 1308   | BUY  | 17.05    | -        |                     
2026-04-09   | 7712   | BUY  | 116.00   | -        |                     
2026-04-10   | 3704   | BUY  | 34.50    | -        |                     
2026-04-10   | 2351   | BUY  | 121.00   | -        |                     
2026-04-10   | 3135   | BUY  | 115.00   | -        |                     
2026-04-13   | 1785   | BUY  | 127.00   | -        |                     
2026-04-14   | 7712   | SELL | 109.50   | -5.6%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-04-14   | 6532   | BUY  | 81.50    | -        |                     
2026-04-15   | 1304   | SELL | 15.35    | -4.1%    | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-04-15   | 1308   | SELL | 15.95    | -6.5%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-04-15   | 1785   | SELL | 140.00   | 10.2%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-04-15   | 3556   | BUY  | 49.25    | -        |                     
2026-04-16   | 6840   | BUY  | 70.10    | -        |                     
2026-04-20   | 4923   | SELL | 35.10    | -5.1%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-04-20   | 3704   | SELL | 38.00    | 10.1%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-04-20   | 2351   | SELL | 141.50   | 16.9%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-04-20   | 3135   | SELL | 113.00   | -1.7%    | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-04-20   | 2419   | BUY  | 36.85    | -        |                     
2026-04-21   | 6532   | SELL | 93.20    | 14.4%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-04-21   | 3556   | SELL | 58.10    | 18.0%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-04-21   | 2419   | SELL | 34.95    | -5.2%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-04-21   | 6415   | BUY  | 377.50   | -        |                     
2026-04-21   | 6788   | BUY  | 495.50   | -        |                     
2026-04-23   | 2351   | SELL | 151.00   | 24.8%    | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-04-23   | 1785   | SELL | 144.50   | 13.8%    | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-04-23   | 3556   | SELL | 53.00    | 7.6%     | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-04-23   | 6840   | SELL | 71.20    | 1.6%     | 保本(HOLY_GRAIL_BREAKOUT)
2026-04-23   | 6415   | SELL | 415.50   | 10.1%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-04-23   | 6788   | SELL | 471.00   | -4.9%    | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-04-23   | 3026   | BUY  | 252.00   | -        |                     
2026-04-23   | 2388   | BUY  | 82.00    | -        |                     
2026-04-23   | 6129   | BUY  | 18.15    | -        |                     
2026-04-24   | 3704   | SELL | 34.45    | -0.1%    | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-04-24   | 3026   | SELL | 216.00   | -14.3%   | 停損(HOLY_GRAIL_BREAKOUT)
2026-04-24   | 6129   | SELL | 17.10    | -5.8%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-04-24   | 3520   | BUY  | 15.40    | -        |                     
2026-04-24   | 8291   | BUY  | 13.75    | -        |                     
2026-04-27   | 2388   | SELL | 74.70    | -8.9%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-04-27   | 8291   | SELL | 16.60    | 20.7%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-04-27   | 6418   | BUY  | 38.50    | -        |                     
2026-04-28   | 6532   | SELL | 94.70    | 16.2%    | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-04-28   | 6418   | SELL | 35.65    | -7.4%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-04-28   | 6658   | BUY  | 133.50   | -        |                     
2026-04-28   | 4951   | BUY  | 99.00    | -        |                     
2026-04-28   | 5344   | BUY  | 17.55    | -        |                     
2026-04-29   | 8271   | BUY  | 214.00   | -        |                     
2026-04-30   | 6658   | SELL | 149.50   | 12.0%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-04-30   | 4951   | SELL | 119.00   | 20.2%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-04-30   | 6679   | BUY  | 288.00   | -        |                     
2026-04-30   | 2327   | BUY  | 323.00   | -        |                     
2026-04-30   | 3288   | BUY  | 15.10    | -        |                     
2026-05-04   | 5344   | SELL | 16.60    | -5.4%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-05-06   | 4951   | SELL | 131.00   | 32.3%    | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-05-06   | 8271   | SELL | 243.00   | 13.6%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-05-06   | 6877   | BUY  | 179.00   | -        |                     
2026-05-06   | 8150   | BUY  | 92.50    | -        |                     
2026-05-07   | 2327   | SELL | 371.50   | 15.0%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-05-07   | 2302   | BUY  | 20.10    | -        |                     
2026-05-07   | 5464   | BUY  | 47.65    | -        |                     
2026-05-08   | 6679   | SELL | 331.00   | 14.9%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-05-08   | 6877   | SELL | 166.00   | -7.3%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-05-08   | 8150   | SELL | 92.70    | 0.2%     | 保本(HOLY_GRAIL_BREAKOUT)
2026-05-08   | 6173   | BUY  | 122.00   | -        |                     
2026-05-11   | 5464   | SELL | 57.60    | 20.9%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-05-11   | 6279   | BUY  | 122.00   | -        |                     
2026-05-12   | 2302   | SELL | 23.65    | 17.7%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-05-12   | 6173   | SELL | 147.00   | 20.5%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-05-12   | 4961   | BUY  | 178.00   | -        |                     
2026-05-12   | 6679   | BUY  | 329.00   | -        |                     
2026-05-15   | 5464   | SELL | 57.10    | 19.8%    | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-05-15   | 6279   | SELL | 115.50   | -5.3%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-05-15   | 4961   | SELL | 169.00   | -5.1%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-05-15   | 6679   | SELL | 305.00   | -7.3%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-05-15   | 2492   | BUY  | 215.00   | -        |                     
2026-05-15   | 8042   | BUY  | 107.50   | -        |                     
2026-05-15   | 3609   | BUY  | 27.95    | -        |                     
2026-05-18   | 5344   | BUY  | 16.10    | -        |                     
2026-05-20   | 2492   | SELL | 242.00   | 12.6%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-05-20   | 2472   | BUY  | 234.00   | -        |                     
2026-05-21   | 8042   | SELL | 125.00   | 16.3%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-05-21   | 2472   | SELL | 266.00   | 13.7%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-05-21   | 2478   | BUY  | 112.50   | -        |                     
2026-05-22   | 2478   | SELL | 127.50   | 13.3%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-05-25   | 3520   | SELL | 15.10    | -1.9%    | 到期(HOLY_GRAIL_BREAKOUT)
2026-05-25   | 8291   | SELL | 100.00   | 627.3%   | 到期(HOLY_GRAIL_BREAKOUT)
2026-05-25   | 6271   | BUY  | 234.00   | -        |                     
2026-05-25   | 3090   | BUY  | 229.50   | -        |                     
2026-05-26   | 6271   | SELL | 260.50   | 11.3%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-05-27   | 2302   | SELL | 32.70    | 62.7%    | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-05-27   | 3609   | SELL | 27.10    | -3.0%    | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-05-27   | 3592   | BUY  | 285.00   | -        |                     
2026-05-27   | 3021   | BUY  | 24.95    | -        |                     
2026-05-28   | 3090   | SELL | 208.50   | -9.2%    | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-05-28   | 2492   | BUY  | 355.00   | -        |                     
2026-05-29   | 3288   | SELL | 16.60    | 9.9%     | 到期(HOLY_GRAIL_BREAKOUT)
2026-05-29   | 3021   | SELL | 30.10    | 20.6%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-05-29   | 2492   | SELL | 394.00   | 11.0%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-05-29   | 3528   | BUY  | 122.50   | -        |                     
2026-05-29   | 6182   | BUY  | 99.00    | -        |                     
2026-06-02   | 8042   | SELL | 162.00   | 50.7%    | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-06-02   | 6182   | SELL | 90.10    | -9.0%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-06-02   | 6127   | BUY  | 78.00    | -        |                     
2026-06-02   | 6134   | BUY  | 41.55    | -        |                     
2026-06-03   | 3528   | SELL | 139.50   | 13.9%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-06-03   | 6134   | SELL | 37.25    | -10.3%   | 停損(HOLY_GRAIL_BREAKOUT)
2026-06-03   | 3609   | BUY  | 29.05    | -        |                     
2026-06-04   | 3021   | SELL | 36.00    | 44.3%    | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-06-04   | 6118   | BUY  | 18.35    | -        |                     
2026-06-05   | 6271   | SELL | 236.50   | 1.1%     | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-06-08   | 3592   | SELL | 255.00   | -10.5%   | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-06-08   | 3528   | SELL | 124.50   | 1.6%     | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-06-08   | 6118   | SELL | 17.00    | -7.4%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-06-09   | 3593   | BUY  | 16.00    | -        |                     
2026-06-10   | 5344   | SELL | 15.55    | -3.4%    | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-06-10   | 6127   | SELL | 77.00    | -1.3%    | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-06-10   | 3593   | SELL | 17.80    | 11.3%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-06-10   | 5227   | BUY  | 25.50    | -        |                     
2026-06-10   | 3310   | BUY  | 70.10    | -        |                     
2026-06-10   | 3011   | BUY  | 14.55    | -        |                     
2026-06-10   | 4542   | BUY  | 374.00   | -        |                     
2026-06-10   | 5488   | BUY  | 12.50    | -        |                     
2026-06-11   | 3609   | SELL | 27.10    | -6.7%    | 停損(HOLY_GRAIL_BREAKOUT)
2026-06-11   | 5227   | SELL | 28.10    | 10.2%    | 分批減碼(HOLY_GRAIL_BREAKOUT) (+10%)
2026-06-11   | 4542   | SELL | 305.00   | -18.4%   | 停損(HOLY_GRAIL_BREAKOUT)
2026-06-11   | 2838   | BUY  | 21.75    | -        |                     
2026-06-11   | 5876   | BUY  | 42.00    | -        |                     
2026-06-12   | 2478   | SELL | 171.50   | 52.4%    | 移動停損(HOLY_GRAIL_BREAKOUT)
2026-06-12   | 5355   | BUY  | 6.51     | -        |                     
